Name,City,Address,Lat,Lng,Code,Unknown 1,Unknown (City) 2,Timing (Mon-to-Sat),Timing (Friday),Status,Break,Unknown 3,Unknown 4,Unknown 5
,Gojra,Adjacent Telephone Exchange Gojra,31.151286,72.681957,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,469,1:00 PM to 2:00 PM
,Gujranwala,Near HBL Mian Market Wapda Town Gujranwala,32.092304,74.184291,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,567,1:00 PM to 2:00 PM
,Gujranwala,"OSS Trust Plaza, ground floor, Gujranwala",32.173697,74.182332,JS Trust Plaza Gujranwala,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,611,1:00 PM to 2:00 PM
,Gujranwala,Model Town G-T Road Tele Phone Exchange Gujranwala,32.176853,74.182911,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,448,1:00 PM to 2:00 PM
,Gujrat,OSS CTX Near Eid Gah G-T Road Gujrat,32.589842,74.080911,CC_JS CTX GUJRAT,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,493,1:00 PM to 2:00 PM
,Haripur,OSS Near Main Telephone Exchange Main Khan Pur Road Opposite TIP Factory Haripur,33.97598,72.92147,CC_JS HARIPUR,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,479,1:00 PM to 2:00 PM
,Haroonabad,PTCL Telephone Exchange Haroon Abad,29.61235,73.139502,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,538,1:00 PM to 2:00 PM
,Hasilpur,PTCL Telephone Exchange Hasilpur,29.696118,72.555665,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,539,1:00 PM to 2:00 PM
,Hyderabad,Near Telecomm Building Unit No-07 Latifabad Hyderabad,25.36937,68.35646,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,546,1:00 PM to 2:00 PM
,Hyderabad,Opposite NBP Main Branch CTO Compound Hyderabad,25.38598,68.36078,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,598,1:00 PM to 2:00 PM
,Hyderabad,Telecomm Building Main Road Qasimabad,25.39348,68.33547,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,599,1:00 PM to 2:00 PM
,Hyderabad,Belkhana Exchange? Market City Hyderabad,25.399357,68.372065,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,482,1:00 PM to 2:00 PM
,Islamabad,PTCL Exchange Street 19 Sector -C Phase-8 Bahria Town Rawalpindi,33.493922,73.081266,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,529,1:00 PM to 2:00 PM
,Islamabad,Ufone PTCL Joint Shop Telephone Exchange Near Bus Stop Lehtrar Road Islamabad,33.6416274,73.1561455,CC_JS TARLAI ISB,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,530,1:00 PM to 2:00 PM
,Islamabad,PTCL OSS F-8 Main Nazim Ud Din Road Islamabad - F-8 Exchange,33.70125,73.03662,CC_JS F-8 ISB,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,554,1:00 PM to 2:00 PM
,Islamabad,3rd Road Near Post Office G-10 Markaz Islamabad,33.679054,73.017506,CC_JS G-10 ISB,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,557,1:00 PM to 2:00 PM
,Islamabad,Joint Shop PTCL ITR Building Near Marriot Hotel F-5-1 Islamabad,33.72971,73.090198,CC_JS F-5 ISB,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,558,1:00 PM to 2:00 PM
,Islamabad,PTCL Exchange Telephone Exchange Near Graveyard Phase-IV Behria Town Islamabad,33.551898,73.123188,CC_JS BEHRIA TOWN-4 ISB,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,591,1:00 PM to 2:00 PM
,Islamabad,Sitara Market Near Post Office G-7 Markaz Islamabad,33.704372,73.068539,CC_JS G-7 ISB,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,593,1:00 PM to 2:00 PM
,Islamabad,I-10-3 Exchange Main Road I-10 Markaz Islamabad,33.649394,73.041005,CC_JS-1-10/3 ISB,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,620,1:00 PM to 2:00 PM
,Islamabad,Plot-13-B F-7 Markaz Jinnah Super Market,33.722747,73.058935,CC_ISB,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,631,1:00 PM to 2:00 PM
,Islamabad,"Ufone PTCL Joint Shop ,Ptcl Telephone Exchange F/11 Markaz Isb",33.684534,72.991276,CC_JS F-11 ISLAMABAD,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,636,1:00 PM to 2:00 PM
CC_JS BAHRIA ENCLAVE,Islamabad,"Ufone PTCL Joint Shop, Sector A Bahria Enclave, Malot, Islamabad",33.692595,73.214226,CC_JS BAHRIA ENCLAVE,5,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,674,1:00 PM to 2:00 PM
,Islamabad,Ufone PTCL Joint Shop Simply Dam Road Barakahu Islamabad,33.732216,73.197887,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,481,1:00 PM to 2:00 PM
,Jehlum,Kazim Kamal Road PTCL Compound Jhelum Cantt,32.92496,73.72224,CC_JS JHELUM,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,555,1:00 PM to 2:00 PM
,Jhang,"PTCL Revenue Office, Adjacent JS Jhang, PTCL Telephone Exchange, Jhang",31.272414,72.3184031,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,582,1:00 PM to 2:00 PM
,Kabirwala,PTCL Exchange Kabirwala,30.410206,71.875033,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,518,1:00 PM to 2:00 PM
,Kamoki,PTCL OSS Kamoki - Kamoki Telephone Exchange,31.985606,74.220996,CC_JS KAMOKI,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,449,1:00 PM to 2:00 PM
,Karachi,PTCL Smart Shop Landhi Telephone Exchange Near Landhi-89 Karachi,24.846844,67.206369,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,563,1:00 PM to 2:00 PM
,Karachi,Joint Shop West Wharf KHI PTCL Exchange Opposite Benazir Sports Complex West Wharf Road Karachi,24.849618,66.990367,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,564,1:00 PM to 2:00 PM
,Karachi,"PTCL / UFONE SMART SHOP JS Pak Capital Pak Capital Telephone Exchange, Near Faizan e Madina, Old Sabzi Mandi University Road Karachi",24.8933951,67.0616902,CC_JS PAK CAPITAL KHI,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,575,1:00 PM to 2:00 PM
,Karachi,LEA Market Exchange Building D-D Chaudhry Road Baghdadi Lyari Town Karachi,24.86071,66.9968,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,576,1:00 PM to 2:00 PM
,Karachi,Joint Shop Clifton Hatim Alvi Road Clifton Karachi,24.814024,67.030005,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,577,1:00 PM to 2:00 PM
,Karachi,Smart Shop Gulshan-e-Iqbal Main University Road Adjacent Gulshan Exchange Karachi,24.91335,67.09062,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,600,1:00 PM to 2:00 PM
,Karachi,PTCL Smart Shop Karachi Airport Exchange Building Main Shahrah-e-Faisal Near Star Gate,24.88721,67.14902,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,601,1:00 PM to 2:00 PM
,Karachi,Service Center Malir Model Colony Model Colony PTCL Exchange,24.8966,67.18992,CC_JS MALIR MODEL COLONY KHI,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,602,1:00 PM to 2:00 PM
,Karachi,Opposite Zological Garden Verly Road Saddar Karachi,24.87415,67.02435,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,603,1:00 PM to 2:00 PM
,Karachi,PTCL Smart Shop Block-12 Gulistan-e-Johar Karachi,24.91682,67.13351,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,604,1:00 PM to 2:00 PM
,Karachi,AOTR Building Block-B North Nazimabad Near Asghar Hospital,24.92418,67.03451,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,605,1:00 PM to 2:00 PM
,Karachi,PTCL Smart Shop Gulzar-e-Hijri Exchange Scheme-33 Metrovil-III Gulzar-e-Hijri Karachi,24.94883,67.10679,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,606,1:00 PM to 2:00 PM
,Karachi,PTCL Shop Cantt Exchange Building Behind Marriot Hotel Near Karachi Club Karachi,24.84428,67.03046,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,607,1:00 PM to 2:00 PM
,Karachi,Telephone Exchange Gulshan-e-Hadeed Phase-2 Karachi,24.87168,67.35946,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,608,1:00 PM to 2:00 PM
,Karachi,"UFONE SERVICE CENTER, PLOT # D-3, BLOCK-D, NORTH NAZIM ABAD KARACHI NEAR FIVE STAR ROUNDABOUT KARACHI",24.94196,67.046148,CC_HYDERI,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,609,1:00 PM to 2:00 PM
,Karachi,Naseerabad FB Area Azizabad Karachi,24.931042,67.070356,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,624,1:00 PM to 2:00 PM
,Karachi,Plot-37 Khayaban-e-Muhafiz Phase-VI DHA PTCL Misrishah Exchange Karachi,24.837305,67.060176,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,625,1:00 PM to 2:00 PM
,Karachi,Street-7-A Sector-11-I North Karachi,24.976131,67.066474,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,626,1:00 PM to 2:00 PM
,Karachi,Orangi Town Exchange Building Sector-4 Orangi Town Karachi,24.937649,66.998696,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,627,1:00 PM to 2:00 PM
,Karachi,Plot-H-8 Site Karachi,24.902976,66.99093,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,628,1:00 PM to 2:00 PM
,Karachi,Plaza Qtrs Noman Street-Off MA Jinnah Road Karachi,24.863674,67.022629,CC_JS-JINNAH ROAD KHI,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,629,1:00 PM to 2:00 PM
,Karachi,Central Exchange Building Talpur Road-Off II Chundriger Road Karachi,24.849779,67.002109,,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,638,1:00 PM to 2:00 PM
,Karachi,2-B Link Avenue Defence Phase-II Karachi,24.837239,67.06029,CC_JS-DHA KHI,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,639,1:00 PM to 2:00 PM
,Karachi,Korangi Telephone Exchange Korangi Karachi,24.84025,67.14629,,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,640,1:00 PM to 2:00 PM
,Karachi,Smart Shop G-Maymar? Sect X-1 Gulshan-e-Maymar Karachi,25.019213,67.13062,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,466,1:00 PM to 2:00 PM
,Kasur,Ufone PTCL Joint Shop Telephone Exchange Circular Road Kasur,31.118021,74.452015,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,501,1:00 PM to 2:00 PM
,Khanewal,PTCL Exchange Khanewal,30.303295,71.921639,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,519,1:00 PM to 2:00 PM
,Khanpur,PTCL Exchange Khanpur,28.644283,70.650667,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,520,1:00 PM to 2:00 PM
CC_JS KHARIAN,Kharian,Building Delta Travel Agency? G-T Road Kharian,32.796075,73.8787192,,5,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,494,1:00 PM to 2:00 PM
,Khudian,Ufone PTCL Joint Shop Telephone Exchange Makka Town Khudian Khass,30.981889,74.269523,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,453,1:00 PM to 2:00 PM
,Khurrianwala,Adjacent Telephone Exchange? Khurrianwala,31.499173,73.272451,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,470,1:00 PM to 2:00 PM
,Kot Addu,PTCL Exchange Kot Addu,30.470749,70.964447,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,521,1:00 PM to 2:00 PM
,Kot Radha Kishan,Ufone PTCL Joint Shop Telephone Exchange Kot Radha Kishan,31.166718,74.10665,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,474,1:00 PM to 2:00 PM
,Lahore,PTCL Exchange Band Road Near Chohan Road Lahore Sanda,31.567355,74.28237,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,513,1:00 PM to 2:00 PM
,Lahore,Ufone PTCL Joint Shop-2 Abid Majeed Road PTCL Exchange Girja Chock Lahore Cantt,31.522359,74.380454,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,551,1:00 PM to 2:00 PM
CC_JS GARDEN TOWN,Lahore,Ufone PTCL Joint Shop-1 Tipu Block Garden Town Exchange Near Kalma Chowk Lahore,31.503754,74.330648,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,584,1:00 PM to 2:00 PM
,Lahore,2-CC Ghazi Road Near PTCL Telephone Exchange S-Block DHA Lahore,31.471616,74.391678,CC_JS-DHA LHR,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,612,1:00 PM to 2:00 PM
,Lahore,"PTCL Telephone Exchange, Moon Market, Gulshan Ravi",31.55203,74.282635,CC_JS-GULSHAN RAVI LHR,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,613,1:00 PM to 2:00 PM
,Lahore,PTCL Johar Town Exchange Near Shaukat Khanam Hospital Lahore,31.46014,74.26262,CC_JS-JOHAR TOWN,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,614,1:00 PM to 2:00 PM
,Lahore,"1- McLeod Rd opp GPO Building, The Mall, Lahore",31.566102,74.31554,CC_JS-CTH LHR,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,615,1:00 PM to 2:00 PM
,Lahore,15-S- Gulberg II Mini Market Lahore,31.522718,74.354208,CC_GULBERG,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,630,1:00 PM to 2:00 PM
,Lahore,26 Civic Center Barkat Market Garden Town Lahore,31.49996,74.32049,CC_JS-BARKET MARKET LHR,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,633,1:00 PM to 2:00 PM
,Lahore,"PTCL Exchange Guldasht Town Near Ranger HQS, Zarrar Shaheed Road, Opposite NADRA Office",31.545885,74.41653,CC_JS-GULDASHT,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,634,1:00 PM to 2:00 PM
,Lahore,Main Ferozpur Road Khana Nau Exchange Lahore,31.376275,74.364264,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,635,1:00 PM to 2:00 PM
,Lahore,"OSS Guldasht Town Near Ranger Hqs\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""",31.545885,74.41653,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,439,1:00 PM to 2:00 PM
,Lahore,Ufone PTCL Joint Shop Plot-1 Block-B4 Wapda Town,31.4394835,74.2810029,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,454,1:00 PM to 2:00 PM
,Lahore,OSS Multan Road Near Coca Cola Stop Main Multan Road Lahore,31.512447,74.273608,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,456,1:00 PM to 2:00 PM
,Lahore,Mustafa Town Exchange Lahore,31.494516,74.27276,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,457,1:00 PM to 2:00 PM
,Lahore,Samnabad Exchange Lahore,31.538479,74.308017,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,458,1:00 PM to 2:00 PM
,Lahore,Shahalam Exchange Circular Road Lahore,31.575335,74.318177,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,459,1:00 PM to 2:00 PM
,Lahore,21-C Kashmir Block Allama Iqbal Town Lahore,31.518664,74.290901,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,460,1:00 PM to 2:00 PM
,Lahore,"PTCL Telephone Exchange, near Bank Al Habib, Misri Shah, Lahore",31.592198,74.335161,CC_JS MISRISHAH LAHORE,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,461,1:00 PM to 2:00 PM
,Lahore,Ufone PTCL Joint Shop Mominpura Lahore,31.589423,74.42305,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,475,1:00 PM to 2:00 PM
,Lahore,Ufone PTCL Joint Shop Telephone Exchange G-T Road Baghban Pura Lahore,31.578901,74.370743,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,476,1:00 PM to 2:00 PM
,Lahore,Ufone PTCL Joint Shop Block Takbeer Behind Cinigold Cinema Bahria Town Lahore,31.38826,74.191491,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,502,1:00 PM to 2:00 PM
,Lahore,Ufone PTCL Joint Shop No 5-6 Ground Floor Al-Hafeez Shopping Mall Main Boulevard,31.51398,74.343364,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,503,1:00 PM to 2:00 PM
,Lahore,Ufone PTCL Joint Shop 6-A Civic Center Faisal Town Lahore,31.4751,74.306909,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,504,1:00 PM to 2:00 PM
,Lahore,Ufone PTCL Joint Shop Ghazi Chowk Near General Hospital Ferozepur Road Lahore,31.457951,74.351512,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,505,1:00 PM to 2:00 PM
,Lahore,Ufone PTCL Joint Shop Township Hamdard Chowk PTCL Exchange,31.445261,74.318951,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,506,1:00 PM to 2:00 PM
,Lahore,Ufone PTCL Joint Shop 6-D-1 Gulberg Exchange Lahore,31.516132,74.347542,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,507,1:00 PM to 2:00 PM
,Lahore,OSS Badami Bagh Exchange Lahore,31.596226,74.306988,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,510,1:00 PM to 2:00 PM
,Lahore,"PTCL Telephone Exchange, 11 Egerton Rd, Lahore",31.560687,74.3296,CC_JS EGERTON ROAD LAHORE,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,511,1:00 PM to 2:00 PM
,lala Musa,Telephone Exchange Lala Musa Near Committee Office,32.705405,73.955282,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,450,1:00 PM to 2:00 PM
,Larkana,PTCL Smartshop Larkana Near GPO Office Larkana,27.55537,68.21485,CC_JS LARKANA OLD TELEPHONE EXCHANG,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,548,1:00 PM to 2:00 PM
,Layyah,PTCL Exchange Layyah,30.966671,70.953346,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,522,1:00 PM to 2:00 PM
,Liaqatpur,Ufone PTCL Joint Shop PTCL Exchange Liaqat Pur,28.936945,70.94845,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,523,1:00 PM to 2:00 PM
